latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
21.10491,86.13892,334.11,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.89,6.47,D
21.10877,86.14205,347.9,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,304.54,6.47,D
20.9626,85.18839,346.39,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,308.62,7.34,D
20.9636,85.17304,340.13,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,304.91,5.38,D
20.96302,85.16933,334.01,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.87,5.11,D
20.9708,85.17555,352.33,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,308.04,8.48,D
20.96733,85.15337,335.49,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,304.94,3.01,D
19.4551,76.9484,353.81,0.34,0.56,2026-01-26,0735,N,VIIRS,n,2.0NRT,297.04,7.3,D
21.21188,86.67715,340.64,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,304.1,3.72,D
20.49981,81.9808,331.43,0.49,0.4,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.38,4.59,D
21.06809,85.19281,337.82,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,300.85,3.45,D
20.84384,83.7833,331.73,0.41,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.02,1.99,D
20.90204,83.96576,331.47,0.41,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.33,1.37,D
21.15439,85.31036,336.09,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.22,2.6,D
20.98438,84.23638,331.54,0.4,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.32,2.67,D
20.94694,83.94142,336.01,0.41,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,306.32,5.87,D
20.9935,84.20709,346.32,0.4,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,304.67,9.77,D
20.97634,83.97202,337.13,0.41,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.47,4.29,D
20.96764,83.87358,347.24,0.41,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.06,7.38,D
20.94441,83.69169,333.26,0.41,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.93,4.68,D
20.9465,83.68314,331.57,0.41,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,300.86,1.97,D
20.95584,83.71805,332.61,0.41,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.2,3.6,D
21.00723,83.98646,335.62,0.41,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.37,3.18,D
20.95346,83.66145,335.46,0.41,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.54,3.47,D
21.07066,84.20486,333.2,0.4,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.99,4.92,D
21.03702,83.84859,346.84,0.41,0.37,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.89,2.81,D
21.51239,86.83208,357.19,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,305.27,13.41,D
21.49345,86.50314,330.64,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,300.46,1.82,D
